
===================================================
Simulating (simso.schedulers.EDF) on config (config_overhead_2_50_50.xml) 
with sim module (default_simulator).
Chroms: 30, Gen: 100, ESC: 0.1 0.5 0.4, MR: 1.5
Selection: Roulette, MS: False, Crossover: OX2, Keep Elite: False
===================================================


9784714 Task 11_1 CPU 1
9932992 Task 59_3 CPU 1
9946982 Task 11_1 CPU 1
10164295 Task 21_4 CPU 1
10170168 Task 11_1 CPU 1
10184113 Task 3_7 CPU 1
10198085 Task 11_1 CPU 1
10399779 Task 28_2 CPU 1
10410015 Task 15_3 CPU 2
10418407 Task 30_1 CPU 1
10432945 Task 27_4 CPU 1
10485792 Task 30_1 CPU 1
10493727 Task 61_3 CPU 1
10514867 Task 30_1 CPU 1
10536325 Task 11_1 CPU 2
10596251 Task 22_6 CPU 2
10607798 Task 64_1 CPU 1
10614211 Task 30_1 CPU 2
10657832 Task 11_1 CPU 1
10685541 Task 6_5 CPU 1
10738422 Task 11_1 CPU 1
10844827 Task 95_4 CPU 1
10853091 Task 11_1 CPU 1
11009609 Task 19_9 CPU 1
11011873 Task 11_1 CPU 1
11140255 Task 9_4 CPU 1
11148410 Task 11_1 CPU 1
11240899 Task 67_3 CPU 1
11267532 Task 11_1 CPU 1
11319295 Task 68_3 CPU 1
11329234 Task 11_1 CPU 1
11352751 Task 92_5 CPU 1
11361050 Task 11_1 CPU 1
11436953 Task 4_5 CPU 1
11456620 Task 11_1 CPU 1
11631965 Task 35_1 CPU 2
11715993 Task 38_5 CPU 2
11734054 Task 35_1 CPU 2
11881465 Task 3_8 CPU 2
11895437 Task 35_1 CPU 2
12111949 Task 46_1 CPU 1
12132751 Task 73_1 CPU 1
12240409 Task 61_4 CPU 2
12261549 Task 35_1 CPU 2
12273323 Task 46_1 CPU 1
12327262 Task 14_1 CPU 2
12385810 Task 19_10 CPU 2
12388074 Task 14_1 CPU 2
12535335 Task 53_3 CPU 2
12547598 Task 14_1 CPU 2
12715501 Task 22_7 CPU 2
12733461 Task 14_1 CPU 2
12790857 Task 42_5 CPU 2
12825232 Task 14_1 CPU 2
13153429 Task 58_4 CPU 2
13168435 Task 14_1 CPU 2
13211566 Task 72_5 CPU 2
13224861 Task 14_1 CPU 2
13356926 Task 6_6 CPU 2
13387930 Task 16_2 CPU 1
13409807 Task 46_1 CPU 2
13552393 Task 21_5 CPU 2
13558266 Task 46_1 CPU 2
13578817 Task 3_9 CPU 2
13592789 Task 46_1 CPU 2
13762011 Task 19_11 CPU 2
13764275 Task 46_1 CPU 2
13910593 Task 27_5 CPU 2
13950095 Task 95_5 CPU 1
13958359 Task 16_2 CPU 1
13963440 Task 46_1 CPU 2
14027997 Task 34_2 CPU 2
14048142 Task 46_1 CPU 2
14129415 Task 14_1 CPU 1
14221584 Task 59_4 CPU 1
14235574 Task 14_1 CPU 1
14296191 Task 4_6 CPU 1
14315858 Task 14_1 CPU 1
14373095 Task 23_3 CPU 1
14407577 Task 14_1 CPU 1
14644991 Task 38_6 CPU 1
14663052 Task 14_1 CPU 1
14834751 Task 22_8 CPU 1
14852711 Task 14_1 CPU 1
14853673 Task 9_5 CPU 1
14861828 Task 14_1 CPU 1
14882849 Task 92_6 CPU 1
14891148 Task 14_1 CPU 1
15138212 Task 19_12 CPU 1
15140476 Task 14_1 CPU 1
15146059 Task 18_1 CPU 2
15249655 Task 43_1 CPU 1
15276169 Task 3_10 CPU 1
15290141 Task 43_1 CPU 1
15535329 Task 12_3 CPU 1
15536790 Task 43_1 CPU 1
15615022 Task 15_4 CPU 1
15734353 Task 45_3 CPU 2
15739861 Task 18_1 CPU 2
15741326 Task 43_1 CPU 1
15775388 Task 5_2 CPU 1
15831838 Task 43_1 CPU 1
15988571 Task 42_6 CPU 1
16022946 Task 43_1 CPU 1
16028311 Task 6_7 CPU 1
16081192 Task 43_1 CPU 1
16227674 Task 61_5 CPU 1
16248814 Task 43_1 CPU 1
16351287 Task 67_4 CPU 1
16377920 Task 43_1 CPU 1
16445188 Task 76_2 CPU 1
16456870 Task 95_6 CPU 2
16465134 Task 18_1 CPU 2
16514413 Task 19_13 CPU 2
16516677 Task 18_1 CPU 2
16532049 Task 40_3 CPU 2
16552569 Task 18_1 CPU 2
16572881 Task 68_4 CPU 2
16582820 Task 18_1 CPU 2
16676135 Task 43_1 CPU 1
16940491 Task 21_6 CPU 1
16946364 Task 43_1 CPU 1
16954001 Task 22_9 CPU 1
16971961 Task 43_1 CPU 1
16973521 Task 3_11 CPU 1
16987493 Task 43_1 CPU 1
17155429 Task 4_7 CPU 1
17175096 Task 43_1 CPU 1
17384840 Task 72_6 CPU 1
17388241 Task 27_6 CPU 2
17398135 Task 18_1 CPU 1
17441088 Task 43_1 CPU 2
17573989 Task 38_7 CPU 2
17589004 Task 53_4 CPU 1
17592056 Task 18_1 CPU 2
17601267 Task 43_1 CPU 1
17660922 Task 88_1 CPU 1
17857403 Task 60_2 CPU 2
17890614 Task 19_14 CPU 1
17892878 Task 88_1 CPU 1
17945956 Task 18_1 CPU 2
18012670 Task 93_1 CPU 2
18102879 Task 8_3 CPU 1
18137099 Task 88_1 CPU 1
18161043 Task 18_1 CPU 2
18373456 Task 43_1 CPU 1
18393658 Task 61_6 CPU 1
18414798 Task 43_1 CPU 1
18528079 Task 96_3 CPU 1
18567091 Task 9_6 CPU 2
18570740 Task 18_1 CPU 1
18575246 Task 43_1 CPU 2
18670873 Task 3_12 CPU 2
18684845 Task 43_1 CPU 2
18699696 Task 6_8 CPU 2
18752577 Task 43_1 CPU 2
19001620 Task 59_5 CPU 2
19015610 Task 43_1 CPU 2
19073251 Task 22_10 CPU 2
19091211 Task 43_1 CPU 2
19186285 Task 42_7 CPU 2
19220660 Task 43_1 CPU 2
19266815 Task 19_15 CPU 2
19269079 Task 43_1 CPU 2
19295767 Task 72_7 CPU 2
19309062 Task 43_1 CPU 2
20014667 Task 4_8 CPU 2
20034334 Task 43_1 CPU 2
20166210 Task 58_5 CPU 2
20181216 Task 43_1 CPU 2
20328589 Task 21_7 CPU 2
20334462 Task 43_1 CPU 2
20368225 Task 3_13 CPU 2
20382197 Task 43_1 CPU 2
20429968 Task 92_7 CPU 2
20438267 Task 43_1 CPU 2
20502987 Task 38_8 CPU 2
20521048 Task 43_1 CPU 2
20607185 Task 20_2 CPU 2
20643016 Task 19_16 CPU 1
20645280 Task 18_1 CPU 1
20799557 Task 28_3 CPU 1
20818179 Task 18_1 CPU 1
20820029 Task 15_5 CPU 1
20865889 Task 27_7 CPU 2
20918736 Task 20_2 CPU 2
20919278 Task 18_1 CPU 2
20946333 Task 43_1 CPU 1
21192501 Task 22_11 CPU 1
21210461 Task 43_1 CPU 1
21371081 Task 6_9 CPU 1
21423962 Task 43_1 CPU 1
21551023 Task 61_7 CPU 1
21559642 Task 23_4 CPU 2
21572169 Task 18_1 CPU 1
21594124 Task 43_1 CPU 2
21656837 Task 48_2 CPU 2
21712176 Task 96_4 CPU 1
21754831 Task 18_1 CPU 1
21771429 Task 43_1 CPU 2
21805430 Task 39_2 CPU 2
21960273 Task 72_8 CPU 1
21973568 Task 18_1 CPU 1
22019217 Task 19_17 CPU 1
22021481 Task 18_1 CPU 1
22065577 Task 3_14 CPU 1
22079549 Task 18_1 CPU 1
22097761 Task 95_7 CPU 1
22106025 Task 18_1 CPU 1
22185388 Task 94_1 CPU 1
22280509 Task 9_7 CPU 1
22288664 Task 94_1 CPU 1
22322785 Task 59_6 CPU 1
22336775 Task 94_1 CPU 1
22383999 Task 42_8 CPU 1
22418374 Task 94_1 CPU 1
22633839 Task 64_2 CPU 1
22683873 Task 94_1 CPU 1
22873905 Task 4_9 CPU 1
22893572 Task 94_1 CPU 1
22948502 Task 18_1 CPU 1
22954500 Task 1_2 CPU 1
23040295 Task 92_8 CPU 1
23048573 Task 1_2 CPU 2
23048594 Task 18_1 CPU 1
23176881 Task 43_1 CPU 2
23191060 Task 33_1 CPU 2
23302993 Task 12_4 CPU 2
23304454 Task 33_1 CPU 2
23311751 Task 22_12 CPU 2
23329711 Task 33_1 CPU 2
23395418 Task 19_18 CPU 2
23397682 Task 33_1 CPU 2
23431985 Task 38_9 CPU 2
23438752 Task 86_1 CPU 1
23450046 Task 18_1 CPU 2
23584747 Task 58_6 CPU 2
23597159 Task 18_1 CPU 1
23599753 Task 33_1 CPU 2
23601529 Task 45_4 CPU 2
23607037 Task 33_1 CPU 2
23716687 Task 21_8 CPU 2
23722560 Task 33_1 CPU 2
23762929 Task 3_15 CPU 2
23776901 Task 33_1 CPU 2
24042466 Task 6_10 CPU 2
24082992 Task 82_1 CPU 1
24095347 Task 18_1 CPU 2
24136008 Task 68_5 CPU 2
24145947 Task 18_1 CPU 2
24251522 Task 33_1 CPU 1
24343537 Task 27_8 CPU 1
24396384 Task 33_1 CPU 1
24603049 Task 95_8 CPU 1
24611313 Task 33_1 CPU 1
24754753 Task 72_9 CPU 1
24768048 Task 33_1 CPU 1
24771619 Task 19_19 CPU 1
24773883 Task 33_1 CPU 1
24798073 Task 40_4 CPU 1
24818593 Task 33_1 CPU 1
24823865 Task 36_1 CPU 2
25431001 Task 22_13 CPU 2
25448961 Task 36_1 CPU 2
25460281 Task 3_16 CPU 2
25474253 Task 36_1 CPU 2
25581713 Task 42_9 CPU 2
25616088 Task 36_1 CPU 2
25733143 Task 4_10 CPU 2
25752810 Task 36_1 CPU 2
25764176 Task 61_8 CPU 2
25785316 Task 36_1 CPU 2
25968808 Task 71_1 CPU 2
25993927 Task 9_8 CPU 1
26002082 Task 33_1 CPU 1
26025036 Task 15_6 CPU 1
26068490 Task 33_1 CPU 2
26147820 Task 19_20 CPU 2
26150084 Task 33_1 CPU 2
26151346 Task 36_1 CPU 1
26215737 Task 26_2 CPU 1
26307705 Task 57_1 CPU 2
26349602 Task 33_1 CPU 1
26360983 Task 38_10 CPU 1
26377446 Task 33_1 CPU 2
26379044 Task 36_1 CPU 1
26644121 Task 70_1 CPU 1
26713851 Task 6_11 CPU 2
26717162 Task 92_9 CPU 1
26725461 Task 70_1 CPU 1
26766732 Task 33_1 CPU 2
26775859 Task 16_3 CPU 2
26886124 Task 33_1 CPU 1
26897559 Task 36_1 CPU 1
26985916 Task 59_7 CPU 1
